"age_group","sex","punkt","mean_4ch","conf.low_4ch","conf.high_4ch","mean_2ch","conf.low_2ch","conf.high_2ch","mean_3ch","conf.low_3ch","conf.high_3ch"
"55-59","Male",39,-6.71238347169753,-9.78525014610269,-3.63951679729237,-7.4768897782284,-11.3729750985221,-3.58080445793474,-7.20697548888704,-10.2713802751574,-4.14257070261667
"55-59","Male",40,-6.6346271994856,-9.41284492596208,-3.85640947300912,-7.24263635728395,-10.780562066295,-3.70471064827289,-7.08816994727572,-9.98429487763024,-4.1920450169212
"55-59","Male",41,-6.61852965350823,-9.17897937483566,-4.0580799321808,-7.08914406578765,-10.3856897277014,-3.79259840387386,-7.04367271953704,-9.82744151986401,-4.25990391921007
"55-59","Male",42,-6.62100087740741,-9.0508838879332,-4.19111786688162,-6.99006661572346,-10.141194749454,-3.83893848199295,-7.03314751425926,-9.74068531355982,-4.3256097149587
"55-59","Male",43,-6.61958051850514,-9.00243770389507,-4.23672333311521,-6.9169023007358,-9.99197336166602,-3.84183123980558,-7.04030218682099,-9.7277693322242,-4.35283504141777
"55-59","Male",44,-6.60706766863374,-9.01116873878318,-4.20296659848431,-6.85391997482058,-9.89840589998606,-3.80943404965509,-7.0420219936214,-9.77493075753119,-4.30911322971161
"55-59","Male",45,-6.5833288078858,-9.05474638681886,-4.11191122895275,-6.79598950780864,-9.83472138360674,-3.75725763201055,-7.03202571728395,-9.85232294905145,-4.21172848551645
"55-59","Male",46,-6.54997200123457,-9.13023679606475,-3.96970720640438,-6.73799151024486,-9.79474923756393,-3.68123378292579,-7.00637627092593,-9.92950784369068,-4.08324469816117
"55-59","Male",47,-6.50906574410082,-9.21568610390781,-3.80244538429384,-6.67585054938683,-9.76579861241023,-3.58590248636343,-6.96319456609979,-9.96754537501281,-3.95884375718678
"55-59","Male",48,-6.45827432304321,-9.29807813847893,-3.61847050760749,-6.60684447266667,-9.73977796396536,-3.47391098136798,-6.90856810846296,-9.98032799741093,-3.83680821951499
"55-59","Male",49,-6.38339994040021,-9.35686735062022,-3.40993253018019,-6.52224871347634,-9.68943618874059,-3.35506123821209,-6.82327202844342,-9.92767585897143,-3.7188681979154
"55-59","Male",50,-6.26684865038066,-9.35393449672219,-3.17976280403913,-6.39764581337449,-9.59625601436736,-3.19903561238161,-6.69414735103909,-9.84273579745326,-3.54555890462493
"55-59","Male",51,-6.0742335592716,-9.27458256752894,-2.87388455101427,-6.19034639222222,-9.41792423100523,-2.96276855343921,-6.48590723020062,-9.74841610754783,-3.2233983528534
"55-59","Male",52,-5.752108899,-9.09848962249396,-2.40572817550604,-5.86040777858025,-9.16328475372444,-2.55753080343605,-6.14459313412963,-9.70278008587308,-2.58640618238618
"55-59","Male",53,-5.24518137503148,-8.89139255039938,-1.59897019966358,-5.32128324138683,-8.84996750721737,-1.79259897555629,-5.63558860927983,-9.61894562083212,-1.65223159772755
"55-59","Male",54,-4.50043562562593,-8.58888346742594,-0.411987783825912,-4.51386513730247,-8.40521701101593,-0.62251326358901,-4.86981630187222,-9.37392880044793,-0.365703803296511
"55-59","Male",55,-3.50854708272376,-7.96752057961701,0.950426414169477,-3.42237012768313,-7.53149204167666,0.686751786310405,-3.83736268611162,-8.65939848287075,0.984673110647504
"55-59","Male",56,-2.37173282502078,-6.69985108643729,1.95638543639573,-2.183655308793,-5.92457196582732,1.55726134824131,-2.61533319415597,-7.25369952073576,2.02303313242382
"55-59","Male",57,-1.27045943253488,-4.80222912221669,2.26131025714694,-1.03420296720617,-3.80413009773282,1.73572416332047,-1.42476494079414,-5.28802402206768,2.43849414047941
"55-59","Male",58,-0.416522784726551,-2.6428007603462,1.8097551908931,-0.228920670054856,-1.89743375591719,1.43959241580748,-0.539470380366876,-3.19972890911655,2.1207881483828
"55-59","Male",59,0.0248516399617413,-0.890041979251044,0.939745259174526,0.107500355899722,-0.632254200678868,0.847254912478311,-0.0709098531075195,-1.31072811918207,1.16890841296703
"55-59","Male",60,-3.34844664617284e-10,-8.92268647438662e-09,8.25299714515205e-09,-2.50779773055556e-10,-9.33985151266257e-09,8.83829196655146e-09,-1.39120841598765e-10,-6.33445200933589e-09,6.05621032613836e-09
"60-64","Female",1,0,0,0,0,0,0,0,0,0
"60-64","Female",2,0.0126853077697985,-0.676258424406089,0.701629039945686,-0.130635124340566,-0.788446510998616,0.527176262317485,0.0531120152651104,-0.728782269888194,0.835006300418414
"60-64","Female",3,-0.0869257285977179,-1.16772800384856,0.993876546653121,-0.394696116438267,-1.48171777361388,0.692325540737344,-0.01963267913642,-1.29240730948378,1.25314195121094
"60-64","Female",4,-0.204709768538042,-1.52720458827083,1.11778505119474,-0.64868355963713,-2.05708091818723,0.759713798912973,-0.0882312051204185,-1.63644252034613,1.45998011010529
"60-64","Female",5,-0.371433547355805,-1.94177163283469,1.19890453812308,-0.913687528763554,-2.64227447496438,0.814899417437272,-0.175945402964135,-1.93719721743041,1.58530641150214
"60-64","Female",6,-0.720857346887899,-2.63643744505307,1.19472275127727,-1.34941326665098,-3.44358405552398,0.744757522222029,-0.447916266339688,-2.54180208355467,1.64596955087529
"60-64","Female",7,-1.38366017869658,-3.7261537202553,0.958833362862141,-2.11693700473129,-4.61342842758209,0.379554418119504,-1.07242549478064,-3.66785243565709,1.52300144609581
"60-64","Female",8,-2.38233983202779,-5.08292079506585,0.31824113101026,-3.23927635189098,-6.08160358227001,-0.396949121511948,-2.06743996017493,-5.17406083083972,1.03918091048985
"60-64","Female",9,-3.6263829635206,-6.53865774506583,-0.714108181975366,-4.61060636589846,-7.66684903660278,-1.55436369519413,-3.31648442365814,-6.78409702141072,0.151128174094433
"60-64","Female",10,-4.98294209973705,-8.01900671396829,-1.94687748550582,-6.08044221845409,-9.27371508894226,-2.88716934796591,-4.6782372370115,-8.38604866462003,-0.970425809402961
"60-64","Female",11,-6.3705424528919,-9.52012867179718,-3.22095623398663,-7.55046479323001,-10.8658843823815,-4.23504520407855,-6.08220803301627,-9.99804008398835,-2.1663759820442
"60-64","Female",12,-7.7563665914865,-11.0464730891274,-4.46626009384557,-8.98548377550045,-12.439618674384,-5.53134887661688,-7.50874389991734,-11.620089830975,-3.39739796885968
"60-64","Female",13,-9.12407194049722,-12.5848612513822,-5.66328262961223,-10.3885886531448,-13.9882549121844,-6.78892239410512,-8.95013298470748,-13.2290859605344,-4.67118000888058
"60-64","Female",14,-10.4650099253326,-14.1081491382449,-6.82187071242021,-11.7600919354643,-15.5119371588693,-8.0082467120593,-10.3926976861539,-14.8178125486383,-5.96758282366961
"60-64","Female",15,-11.7788022187783,-15.5876178829209,-7.96998655463558,-13.1096835668862,-17.0243696746255,-9.19499745914693,-11.8309783367254,-16.3723036193606,-7.28965305409031
"60-64","Female",16,-13.0852188705024,-17.0398836148613,-9.13055412614345,-14.4438918780059,-18.4912120545461,-10.3965717014658,-13.2497664359686,-17.8704802467856,-8.62905262515163
"60-64","Female",17,-14.3414463061087,-18.4514451379905,-10.2314474742269,-15.7194491101834,-19.8907344475387,-11.5481637728281,-14.6198823404488,-19.3219545868799,-9.91781009401769
"60-64","Female",18,-15.5170869465324,-19.7619257560858,-11.2722481369789,-16.9051539500194,-21.1893036637931,-12.6210042362456,-15.9058692602996,-20.6877379415876,-11.1240005790117
"60-64","Female",19,-16.5916405544363,-20.9238723313789,-12.2594087774937,-17.9791444687137,-22.350502102696,-13.6077868347314,-17.0883948535119,-21.9484623675454,-12.2283273394784
"60-64","Female",20,-17.5438918815059,-21.9218685132761,-13.1659152497357,-18.9242142209092,-23.3619936528658,-14.4864347889526,-18.1441785486246,-23.0754144550217,-13.2129426422275
"60-64","Female",21,-18.344744829136,-22.7359700584075,-13.9535195998645,-19.7171473344311,-24.2102955197247,-15.2239991491375,-19.0469676456606,-24.0338057224396,-14.0601295688816
